sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00258,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False
HG00259,False,False,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True
HG00260,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True
HG00261,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,True
HG00262,True,True,True,True,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,False,False,True,False,True,False
HG00263,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True
HG00264,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True
HG00265,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True
HG00266,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
HG00267,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True
HG00268,False,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,True
HG00269,False,True,False,True,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True
HG00271,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,True,False,True,False,True
HG00272,True,True,True,True,True,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True
HG00273,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False
